,date,ticker,direction,volume,open,close,high,low,total,fund,weight,shares
0,2022-02-09,AVAV,[green]Buy[/green],170300,59.86000061035156,60.779998779296875,61.06999969482422,59.75,70200.89859008789,ARKQ,0.0043,1155
1,2022-02-09,IRDM,[red]Sell[/red],4835000,33.18000030517578,33.310001373291016,33.68000030517578,32.79999923706055,53914468.99276352,ARKK,0.4448,1618567
2,2022-02-09,AVAV,[green]Buy[/green],170300,59.86000061035156,60.779998779296875,61.06999969482422,59.75,14891.099700927734,ARKX,0.0039,245
3,2022-02-09,HOOD,[green]Buy[/green],23897000,13.593999862670898,13.90999984741211,14.279999732971191,13.220000267028809,172581.36810684204,ARKK,0.0014,12407
4,2022-02-09,TWTR,[red]Sell[/red],24473500,36.5,37.83000183105469,37.91999816894531,36.13999938964844,11254009.414718628,ARKK,0.0905,297489
5,2022-02-09,AQB,[red]Sell[/red],456400,1.7200000286102295,1.7100000381469727,1.7400000095367432,1.7100000381469727,66719.07148838043,ARKG,0.0017,39017
6,2022-02-09,EDIT,[red]Sell[/red],1834400,17.850000381469727,18.5,18.784000396728516,17.829999923706055,1961703.0,ARKG,0.0494,106038
7,2022-02-09,SE,[green]Buy[/green],8629800,163.0,173.9499969482422,174.0,163.0,983513.2827453613,ARKW,0.0359,5654
8,2022-02-09,HOOD,[green]Buy[/green],23897000,13.593999862670898,13.90999984741211,14.279999732971191,13.220000267028809,42884.52952957153,ARKW,0.0016,3083
9,2022-02-09,TWST,[green]Buy[/green],601300,62.2400016784668,64.61000061035156,65.0,61.77000045776367,277176.9026184082,ARKK,0.0022,4290
